name,mean,std
AUTOIND,4.945333998465171,0.020025956700870123
GOODLUCK,4.975515988164435,0.027050389676604194
HUBTOWN,4.9191961860257765,0.04707782540102276
BALKRISHNA,4.941229656419531,0.08311381695682199
PRAKASHSTL,3.4510125889436267,0.11907120918339954
PATSPINLTD,4.680229217557445,0.12635610443618775
NTL,2.74574688661376,0.14107412417021492
CELEBRITY,4.805219181204404,0.14353414554363395
EUROTEXIND,4.7533731042891265,0.15215986929473915
GFSTEELS,4.1714975845410605,0.17396335826116718
IZMO,4.891162130563273,0.19408251796203724
SFL,0.038621890237476905,0.3470870134581975
SKIL,4.249300137179915,0.3907968878057907
INFY,0.21259695239700258,0.48025821321629153
AMBUJACEM,0.4521887424484651,0.556408597849379
GMMPFAUDLR,0.07453018657605191,0.5568827535670126
HDFCLIFE,0.05032444684392872,0.5586304849656019
HINDCOMPOS,0.27090900787021893,0.5673401763547905
SUPREMEIND,0.0045475643650515875,0.5747410408154782
KAUSHALYA,3.985680627868067,0.6498180062920664
TAJGVK,0.04626453366582501,0.6608117021049854
CARERATING,0.28826645825404673,0.6866237533622133
AKZOINDIA,0.012693126386186183,0.7014088621376865
GANGAFORGE,0.8364127989553675,0.7109597265555044
GOODYEAR,0.23570359284605857,0.7249708588090561
HAL,0.13810170867511085,0.752652470858476
NHPC,0.16230539335216282,0.8023800519471403
DCM,4.62137645075323,0.8097534082847364
INDIGOPNTS,0.10390490515503391,0.8197262408578277
GANDHITUBE,0.5015382399459977,0.8217219000428959
DMART,0.5039940340208033,0.8260564398519925
ADANIENT,0.0440419330976995,0.8367863828007501
REDINGTON,0.29627486563301586,0.8482181287356776
COCHINSHIP,0.04730061435738284,0.8493486145978458
GREENLAM,0.20195386585292344,0.8547914980795747
CGCL,0.327840872253134,0.8560829376066819
OIL,0.5580510432395072,0.8565131352437072
KAVVERITEL,4.230992437514177,0.8681516804337616
INVENTURE,0.0032603025560772325,0.8846108697586077
BATAINDIA,0.37976953837373284,0.8848523247243016
RAJESHEXPO,1.262778488168782,0.902702885880153
GALAXYSURF,0.10314106224420651,0.9038746390370795
SHAKTIPUMP,0.09042595333660483,0.9165550393467836
PEL,0.6200092091418112,0.9183044869111217
DELTAMAGNT,0.36128047195375407,0.9253808275127898
IGL,0.5595946166077543,0.9321269883245203
KSCL,0.38013888165536047,0.9366695193154346
ULTRACEMCO,0.358441757520906,0.9367345327645187
TITAN,0.12881749927569136,0.960314460678658
WABCOINDIA,0.11090723077688798,0.9944405704374178
FILATEX,0.11362773087711442,0.9995095163513876
JCHAC,0.1411560759827063,1.0034463223823973
EMAMILTD,0.32842743771639643,1.004446129588944
KANSAINER,0.03658764691468716,1.052745670546713
LYKALABS,4.525718265543965,1.053695327305591
UCOBANK,0.309751309720862,1.0541966884692262
IDBI,0.09283528879917327,1.0691811768879058
GICRE,0.5697394243756824,1.0705695336672534
KICL,0.04520115515089102,1.074991250879163
GUFICBIO,0.3113591835130608,1.0770801966825772
ESABINDIA,0.19072641942068377,1.080467431861088
KARMAENG,4.226641100888904,1.098413845799819
HAVELLS,0.3259522921956804,1.0986070917559496
BBL,0.30571018753644524,1.1186901540083207
INDOCO,0.027467635453876104,1.1201206492743372
MOKSH,1.4814184212232098,1.1226071600872298
NAVNETEDUL,0.5504617305994305,1.1308968400656685
3MINDIA,0.384158578895784,1.1551365642316163
GARFIBRES,0.07005865481290567,1.1581670352353641
ARIHANT,1.0640719178543634,1.158319720814858
ACC,0.7475124163860222,1.1674341485614814
RATNAMANI,0.7029576433359918,1.175762695708141
BAJAJHLDNG,0.6698403236444197,1.1760790424723293
GNFC,1.1577469718178302,1.179070895899058
DANGEE,0.25882010845040393,1.1832602272756054
OCCL,1.0015834824546628,1.184087003562381
JSLHISAR,1.7558755460496094,1.187279432368023
HATHWAY,0.19913704141836802,1.188730664524965
UJJIVAN,0.1992329734651526,1.1890063623793738
QUICKHEAL,0.41025125246652117,1.1947861649869482
TATAINVEST,0.03421267121041222,1.2022946081572246
GRAVITA,0.5325271914456035,1.207536512634809
SHREECEM,0.11607080402602893,1.216542624989005
BEML,0.29947113797425606,1.216717169736841
ASALCBR,0.12926838601299906,1.2263849976906411
SUPERHOUSE,0.3177180018003566,1.2344230700672791
VTL,1.2567503244192624,1.2502581667593515
GODREJCP,0.31612713303699425,1.2584062447048703
CESC,0.28852782650818465,1.263950793719336
DCBBANK,0.1823137271012385,1.2684225308510118
REPRO,0.32095128776209614,1.271117106362553
FINEORG,0.431238342295371,1.273140808306734
ENDURANCE,0.9774035057977835,1.3087935023090473
JAMNAAUTO,0.6909647202805971,1.3140373593550687
KNRCON,0.11863347313143471,1.3303632307444957
AVANTIFEED,0.41584832218465156,1.3305876490886235
WIPRO,0.0914338083276746,1.3430918219892147
SIYSIL,0.4111919872264734,1.34309872185275
GODREJPROP,0.5054564073237943,1.3460497622417542
VINYLINDIA,0.13005614670147578,1.350313156278188
KKCL,0.25491730469670776,1.3532953911463264
ICICIBANK,0.6710269953791721,1.3552315177847087
SANDHAR,0.1293216079019289,1.3661457510329014
AUBANK,0.9276779174703027,1.3706336878772458
TATAPOWER,0.18221737654405173,1.3747800299628377
SWARAJENG,0.0406694173716957,1.3774314411425335
PPL,0.4553727345197846,1.378651093501996
FEDERALBNK,0.6311526841569274,1.3805756555471036
SANOFI,0.7204721859435156,1.3816587130254319
ALPHAGEO,0.12239077880460887,1.3917511438304904
FINCABLES,0.23334577800978062,1.3939754458714257
DLF,0.36541645467658973,1.3940190991283332
GTPL,0.4499609615581909,1.3983910951915919
